X,Y,id_0,id,FacilityID,Full_Name,Reg_Rd_No,L_LADD,L_HADD,R_LADD,R_HADD,Left_Mun,Right_Mun,Status,Owner,Managed_By,LifeCycle,vertex_index,vertex_part,vertex_part_index,distance,angle,icon_url,auxiliary_storage_labeling_labelrotation
-79.7188917022176,43.0773307081669,"4857","1174","16995",Caistorville Road,"2","1100","1398","1101","1399",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"8","0","8",1074.07928627262,357.059453860524,./0.png,
-79.6961156095886,43.087200008697,"4891","1176","17002",Bismark Road,"65","9200","9598","9201","9599",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"3","0","3",992.932655851427,295.865417820206,./0.png,
-79.3870258149887,43.0105290770642,"4926","1181","19953",Victoria Avenue,"24","700","920","665","899",West Lincoln,Pelham,Public Maintained Road,RMN,RMN,Active,"1","0","1",754.718044065787,357.593944810371,./0.png,
-79.7320726934872,43.1028541845961,"4956","1185","17693",Bismark Road,"65","9782","9800","9783","9799",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"15","0","15",335.801493168863,346.750577934991,./0.png,
-79.5007372070869,43.0214070082728,"4982","1189","17330",Wellandport Road,"27","1002","1166","1001","1167",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"4","0","4",806.513600714965,319.170476135614,./0.png,
-79.2142273914539,43.1586225646071,"5048","1201","16665",Queenston Street,"81","349","353","360","362",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"1","0","1",22.1033816867124,93.790992659647,./0.png,
-79.6046954840476,43.0602821518458,"5169","1212","21808",Smithville Road,"14","1700","1998","1701","1999",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"8","0","8",1337.090518536,32.7600970510859,./0.png,
-79.4768612401098,43.1747399128824,"5359","1233","17836",Ontario Street,"18","4476","4508","4477","4501",Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,356.524650744336,./0.png,
-79.2498634528343,43.14911216658,"5417","1243","30675",St. Paul Street West,"81","35","49","32","50",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"4","0","4",150.254640267249,233.447709775891,./0.png,
-79.4004991909696,43.0955540199187,"5599","1272","25404",Twenty Mile Road,"69","3800","3856","3801","3857",West Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,267.247066637077,./0.png,
